E:\geetansh\python\college\pp_project>py -m cProfile main.py
         108188 function calls (104310 primitive calls) in 65.865 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 __init__.py:1336(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:134(Rect)
        7    0.000    0.000    0.000    0.000 __init__.py:1357(_register)
        1    0.000    0.000    0.000    0.000 __init__.py:1379(_root)
        1    0.000    0.000    0.000    0.000 __init__.py:138(Scalar)
       14    0.000    0.000    0.001    0.000 __init__.py:139(_check_size)
        1    0.000    0.000    0.014    0.014 __init__.py:14(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:140(EventType)
        1    0.000    0.000    0.000    0.000 __init__.py:142(Mat)
        1    0.000    0.000    0.000    0.000 __init__.py:146(GMat)
        3    0.000    0.000    0.000    0.000 __init__.py:1466(_configure)
        3    0.000    0.000    0.000    0.000 __init__.py:1478(configure)
        7    0.000    0.000    0.000    0.000 __init__.py:1498(__str__)
        1    0.000    0.000    0.000    0.000 __init__.py:150(Prim)
        1    0.000    0.000    0.000    0.000 __init__.py:151(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:154(Any)
        1    0.000    0.000    0.000    0.000 __init__.py:160(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:164(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:1662(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1668(__init__)
     2266    0.002    0.000    0.002    0.000 __init__.py:167(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:1679(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1692(CallWrapper)
        7    0.000    0.000    0.000    0.000 __init__.py:1695(__init__)
      5/3    0.001    0.000   10.069    3.356 __init__.py:1700(__call__)
        1    0.000    0.000    0.000    0.000 __init__.py:1712(XView)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1733(YView)
        1    0.000    0.000    0.000    0.000 __init__.py:1754(Wm)
        1    0.000    0.000    0.000    0.000 __init__.py:183(Event)
        2    0.000    0.000    0.000    0.000 __init__.py:1838(wm_geometry)
        5    0.000    0.000    0.000    0.000 __init__.py:187(_checkLevel)
        2    0.000    0.000    0.000    0.000 __init__.py:1882(wm_iconname)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_float)
        3    0.000    0.000    0.055    0.018 __init__.py:1925(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:194(<dictcomp>)
        2    0.000    0.000    0.000    0.000 __init__.py:1956(wm_protocol)
        2    0.000    0.000    0.000    0.000 __init__.py:1967(wm_resizable)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_longdouble)
        4    0.000    0.000    0.000    0.000 __init__.py:1983(wm_title)
        1    0.000    0.000    0.000    0.000 __init__.py:1999(Tk)
        1    0.000    0.000    6.583    6.583 __init__.py:2003(__init__)
        1    0.000    0.000    0.229    0.229 __init__.py:201(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:2033(_loadtk)
        1    0.000    0.000    0.000    0.000 __init__.py:2054(NullHandler)
        1    0.000    0.000    0.017    0.017 __init__.py:2058(destroy)
        1    0.000    0.000    0.001    0.001 __init__.py:2067(readprofile)
        1    0.000    0.000    0.000    0.000 __init__.py:207(c_longlong)
        1    0.000    0.000    0.000    0.000 __init__.py:211(c_ulonglong)
        4    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:2121(Pack)
        2    0.000    0.000    0.000    0.000 __init__.py:2125(pack_configure)
        1    0.000    0.000    0.000    0.000 __init__.py:2160(Place)
        1    0.000    0.000    0.000    0.000 __init__.py:2164(place_configure)
        1    0.000    0.000    0.000    0.000 __init__.py:218(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:2204(Grid)
